dataset,best_dev_acc,best_dev_f1,best_epoch,final_train_acc,final_train_f1,final_dev_acc,final_dev_f1,fine_tune_mode,lr,epochs,batch_size,hidden_dropout_prob,pooling_config,use_simple_classifier,use_rdrop,rdrop_alpha,weight_decay,max_grad_norm,unuse_schedule,warmup_ratio,run_group,filename,prediction_prefix,checkpoint_path,path
SST,0.5158946412352406,0.49606684530104134,4,0.6161048689138576,0.5945733361854133,0.5158946412352406,0.49606684530104134,full-model,3e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed1-lr3em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed1-lr3em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr3em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed1-lr3em5-drop0p2-full-model-sst-summary.json
SST,0.5131698455949137,0.48773380471824757,4,0.5838014981273408,0.5553777159872079,0.5131698455949137,0.48773380471824757,full-model,2e-05,5,64,0.1,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-dropout-sweep-seed1-lr2em5-drop0p1-full-model-sst-summary.json,sweep-SST-mlp-dropout-sweep-seed1-lr2em5-drop0p1-,checkpoints/sweep-SST-mlp-dropout-sweep-seed1-lr2em5-drop0p1-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-dropout-sweep-seed1-lr2em5-drop0p1-full-model-sst-summary.json
SST,0.5113533151680291,0.4760367861847358,4,0.680126404494382,0.6580845730742928,0.5113533151680291,0.4760367861847358,full-model,2e-05,5,64,0.2,last,True,False,1.0,0,,True,,base_model,base-full-lr2e-5-ep5-seed2-full-model-sst-summary.json,base-full-lr2e-5-ep5-seed2-,checkpoints/sst.pt,runs/base_model/base-full-lr2e-5-ep5-seed2-full-model-sst-summary.json
SST,0.5077202543142597,0.4912026394262143,4,0.6213717228464419,0.5993147509941597,0.5077202543142597,0.4912026394262143,full-model,3e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed0-lr3em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed0-lr3em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed0-lr3em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed0-lr3em5-drop0p2-full-model-sst-summary.json
SST,0.5059037238873751,0.4753167470939855,4,0.574438202247191,0.537417338048937,0.5059037238873751,0.4753167470939855,full-model,2e-05,5,64,0.2,,False,,,0.01,1.0,False,0.06,no-Rdrop-mlp,no-Rdrop-mlp-full-lr2e-5-ep5-full-model-sst-summary.json,no-Rdrop-mlp-full-lr2e-5-ep5-,checkpoints/no-Rdrop-full-lr2e-5-ep5-sst.pt,runs/no-Rdrop-mlp/no-Rdrop-mlp-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.5049954586739328,0.4707596465424798,4,0.5718632958801498,0.5353324426986242,0.5049954586739328,0.4707596465424798,full-model,2e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed1-lr2em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed1-lr2em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed1-lr2em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed1-lr2em5-drop0p2-full-model-sst-summary.json
SST,0.5049954586739328,0.46850258721118454,2,0.579002808988764,0.5483851707377356,0.4986376021798365,0.4740711208485873,full-model,2e-05,5,64,0.1,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-dropout-sweep-seed0-lr2em5-drop0p1-full-model-sst-summary.json,sweep-SST-mlp-dropout-sweep-seed0-lr2em5-drop0p1-,checkpoints/sweep-SST-mlp-dropout-sweep-seed0-lr2em5-drop0p1-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-dropout-sweep-seed0-lr2em5-drop0p1-full-model-sst-summary.json
SST,0.5049954586739328,0.46325424098620954,3,0.6763810861423221,0.6502593315925093,0.5040871934604905,0.47208101986582995,full-model,2e-05,5,64,0.2,,True,,,0,,True,,base_model,base-full-lr2e-5-ep5-full-model-sst-summary.json,base-full-lr2e-5-ep5-,checkpoints/base-full-lr2e-5-ep5-sst.pt,runs/base_model/base-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.5031789282470481,0.4793371567836641,3,0.608497191011236,0.575577428497783,0.5004541326067211,0.4770471293294486,full-model,3e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed2-lr3em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed2-lr3em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed2-lr3em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed2-lr3em5-drop0p2-full-model-sst-summary.json
SST,0.5031789282470481,0.45553161558955974,4,0.5711610486891385,0.5174144633767924,0.5031789282470481,0.45553161558955974,full-model,2e-05,5,64,0.2,last,False,False,1.0,0.01,1.0,False,0.06,SST,sweep-SST-mlp-lr-sweep-seed2-lr2em5-drop0p2-full-model-sst-summary.json,sweep-SST-mlp-lr-sweep-seed2-lr2em5-drop0p2-,checkpoints/sweep-SST-mlp-lr-sweep-seed2-lr2em5-drop0p2-sst.pt,runs/hyper-sweep/SST/sweep-SST-mlp-lr-sweep-seed2-lr2em5-drop0p2-full-model-sst-summary.json
