dataset,best_dev_acc,best_dev_f1,best_epoch,final_train_acc,final_train_f1,final_dev_acc,final_dev_f1,fine_tune_mode,lr,epochs,batch_size,hidden_dropout_prob,pooling_config,use_simple_classifier,use_rdrop,rdrop_alpha,weight_decay,max_grad_norm,unuse_schedule,warmup_ratio,run_group,filename,prediction_prefix,checkpoint_path,path
cfimdb,0.9836734693877551,0.9836731973877115,1,0.997070884592853,0.9970708805718904,0.9755102040816327,0.9755065315915755,full-model,2e-05,5,4,0.2,last_mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-cfimdb-summary.json,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-,checkpoints/cfimdb.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-cfimdb-summary.json
cfimdb,0.9836734693877551,0.9836731973877115,1,0.9912126537785588,0.9912125452113777,0.9755102040816327,0.9755065315915755,full-model,1e-05,5,4,0.2,last_mean,False,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-full-model-cfimdb-summary.json,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-,checkpoints/cfimdb.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha1.0-full-model-cfimdb-summary.json
cfimdb,0.9795918367346939,0.9795918367346939,1,0.9917984768599882,0.9917984740453174,0.9755102040816327,0.9755097960815673,full-model,1e-05,5,4,0.2,last_mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-full-model-cfimdb-summary.json,Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-,checkpoints/cfimdb.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr1e-5-ep5-RdropAlpha2.0-full-model-cfimdb-summary.json
cfimdb,0.9795918367346939,0.9795918367346939,1,0.9935559461042766,0.9935559107196603,0.9755102040816327,0.9755065315915755,full-model,1e-05,5,4,0.2,last_mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-cfimdb-summary.json,Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-,checkpoints/cfimdb.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr1e-5-ep5-RdropAlpha0.5-full-model-cfimdb-summary.json
cfimdb,0.9795918367346939,0.9795904766665001,2,0.9976567076742824,0.9976566875693247,0.9755102040816327,0.9755065315915755,full-model,2e-05,5,8,0.2,,True,,,0.01,1.0,False,0.06,no-Rdrop-simple,no-Rdrop-simple-full-lr2e-5-ep5-full-model-cfimdb-summary.json,no-Rdrop-simple-full-lr2e-5-ep5-,checkpoints/no-Rdrop-simple-full-lr2e-5-ep5-cfimdb.pt,runs/no-Rdrop-simple/no-Rdrop-simple-full-lr2e-5-ep5-full-model-cfimdb-summary.json
cfimdb,0.9795918367346939,0.9795904766665001,0,0.9953134153485648,0.9953134008730747,0.9714285714285714,0.971420953523638,full-model,2e-05,5,4,0.2,last_mean,True,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-full-model-cfimdb-summary.json,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-,checkpoints/cfimdb.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha2.0-full-model-cfimdb-summary.json
cfimdb,0.9795918367346939,0.9795904766665001,4,0.9894551845342706,0.9894551809154081,0.9795918367346939,0.9795904766665001,full-model,2e-05,5,4,0.2,last_mean,False,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-full-model-cfimdb-summary.json,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-,checkpoints/cfimdb.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-full-model-cfimdb-summary.json
cfimdb,0.9795918367346939,0.9795904766665001,3,0.9935559461042766,0.9935558045634801,0.9755102040816327,0.9755065315915755,full-model,1e-05,5,8,0.2,last_mean,False,,,0.01,1.0,False,0.06,no-Rdrop-last-mean,no-Rdrop-last_mean-mlp-full-lr1e-5-ep5-full-model-cfimdb-summary.json,no-Rdrop-last_mean-mlp-full-lr1e-5-ep5-,checkpoints/no-Rdrop-last_mean-full-lr1e-5-ep5-cfimdb.pt,runs/no-Rdrop-last-mean/no-Rdrop-last_mean-mlp-full-lr1e-5-ep5-full-model-cfimdb-summary.json
cfimdb,0.9795918367346939,0.9795904766665,1,0.9964850615114236,0.9964850024023612,0.963265306122449,0.9632432612645652,full-model,2e-05,5,4,0.2,last_mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-full-model-cfimdb-summary.json,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-,checkpoints/cfimdb.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-full-model-cfimdb-summary.json
cfimdb,0.9755102040816327,0.9755097960815673,3,0.9982425307557118,0.9982425211053618,0.9591836734693877,0.9591503267973855,full-model,1e-05,5,8,0.2,last,True,False,1.0,0,,True,,base_model,base-full-lr1e-5-ep5-seed1-full-model-cfimdb-summary.json,base-full-lr1e-5-ep5-seed1-,checkpoints/cfimdb.pt,runs/base_model/base-full-lr1e-5-ep5-seed1-full-model-cfimdb-summary.json
