dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,11711,last-linear-layer,0.001,8,0.2,0.972341863629974,0.7615700058582309,0.7565967712721063,0.7142857142857143,0.7090063798018189,0.7142857142857143,True,checkpoints/cfimdb.pt
cfimdb,1,11711,last-linear-layer,0.001,8,0.2,0.5532930123611032,0.8476859988283538,0.8453226678859997,0.8081632653061225,0.8029097133076595,0.8081632653061225,True,checkpoints/cfimdb.pt
cfimdb,2,11711,last-linear-layer,0.001,8,0.2,0.5217705381877511,0.6490919742237844,0.5996266811389397,0.6408163265306123,0.5862121910026101,0.8081632653061225,False,checkpoints/cfimdb.pt
cfimdb,3,11711,last-linear-layer,0.001,8,0.2,0.4517027144886066,0.8271821909783246,0.822747610041574,0.7673469387755102,0.7545219638242895,0.8081632653061225,False,checkpoints/cfimdb.pt
cfimdb,4,11711,last-linear-layer,0.001,8,0.2,0.4116758506431758,0.9080257762155829,0.9079973593770437,0.8734693877551021,0.8733343339837562,0.8734693877551021,True,checkpoints/cfimdb.pt
cfimdb,5,11711,last-linear-layer,0.001,8,0.2,0.381421846590031,0.8746338605741066,0.8732399937816815,0.8122448979591836,0.807363599070149,0.8734693877551021,False,checkpoints/cfimdb.pt
cfimdb,6,11711,last-linear-layer,0.001,8,0.2,0.36438218525950317,0.8963093145869947,0.8958114433993982,0.8489795918367347,0.8469809760132341,0.8734693877551021,False,checkpoints/cfimdb.pt
cfimdb,7,11711,last-linear-layer,0.001,8,0.2,0.36229094890790564,0.9103690685413005,0.9101815311760064,0.8816326530612245,0.8806704623704673,0.8816326530612245,True,checkpoints/cfimdb.pt
cfimdb,8,11711,last-linear-layer,0.001,8,0.2,0.32491687699177557,0.9127123608670181,0.9125736235595391,0.8734693877551021,0.8726205450733753,0.8816326530612245,False,checkpoints/cfimdb.pt
cfimdb,9,11711,last-linear-layer,0.001,8,0.2,0.32345717795471723,0.9074399531341535,0.9071761528210665,0.8693877551020408,0.868013468013468,0.8816326530612245,False,checkpoints/cfimdb.pt
