dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,11711,last-linear-layer,0.001,8,0.2,1.1689056262513187,0.6766256590509666,0.6396199859254048,0.6571428571428571,0.6102272727272727,0.6571428571428571,True,checkpoints/cfimdb.pt
cfimdb,1,11711,last-linear-layer,0.001,8,0.2,0.6613626705708905,0.8570591681312244,0.8570120100738512,0.8448979591836735,0.8444600374231489,0.8448979591836735,True,checkpoints/cfimdb.pt
cfimdb,2,11711,last-linear-layer,0.001,8,0.2,0.5263725729467713,0.8037492677211482,0.7971450717190762,0.746938775510204,0.7302145495879511,0.8448979591836735,False,checkpoints/cfimdb.pt
cfimdb,3,11711,last-linear-layer,0.001,8,0.2,0.49350361101259693,0.8816637375512595,0.8816519996155905,0.8693877551020408,0.8692112638462565,0.8693877551020408,True,checkpoints/cfimdb.pt
cfimdb,4,11711,last-linear-layer,0.001,8,0.2,0.45201686515568573,0.8160515524311658,0.8107768627251624,0.746938775510204,0.731359649122807,0.8693877551020408,False,checkpoints/cfimdb.pt
cfimdb,5,11711,last-linear-layer,0.001,8,0.2,0.40810063707633554,0.8418277680140598,0.8388771426413955,0.7795918367346939,0.769608526051825,0.8693877551020408,False,checkpoints/cfimdb.pt
cfimdb,6,11711,last-linear-layer,0.001,8,0.2,0.41018685771622393,0.8652606912712361,0.8640208085118173,0.8367346938775511,0.8333333333333333,0.8693877551020408,False,checkpoints/cfimdb.pt
cfimdb,7,11711,last-linear-layer,0.001,8,0.2,0.4043364817294005,0.8957234915055653,0.8957105709719758,0.8816326530612245,0.8814351272423864,0.8816326530612245,True,checkpoints/cfimdb.pt
cfimdb,8,11711,last-linear-layer,0.001,8,0.2,0.38075572182641965,0.8974809607498535,0.8973455372069807,0.8693877551020408,0.8690189788826517,0.8816326530612245,False,checkpoints/cfimdb.pt
cfimdb,9,11711,last-linear-layer,0.001,8,0.2,0.3778643468830073,0.8957234915055653,0.8955528330528331,0.8693877551020408,0.8688963210702341,0.8816326530612245,False,checkpoints/cfimdb.pt
