dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,last-linear-layer,0.001,64,0.2,1.6651256208989158,0.39840823970037453,0.2921094079194584,0.3996366939146231,0.303696061480165,0.3996366939146231,True,checkpoints/sst.pt
sst,1,11711,last-linear-layer,0.001,64,0.2,1.4451953777626378,0.40601591760299627,0.3010129201574604,0.4032697547683924,0.294125063912298,0.4032697547683924,True,checkpoints/sst.pt
sst,2,11711,last-linear-layer,0.001,64,0.2,1.38745200811927,0.4407771535580524,0.3834551970387635,0.4323342415985468,0.3871460153768592,0.4323342415985468,True,checkpoints/sst.pt
sst,3,11711,last-linear-layer,0.001,64,0.2,1.3626278363057036,0.4550561797752809,0.363496242187687,0.4323342415985468,0.34460625149788815,0.4323342415985468,False,checkpoints/sst.pt
sst,4,11711,last-linear-layer,0.001,64,0.2,1.3414423092087704,0.4658239700374532,0.36888578433254665,0.43869209809264303,0.35216158271209747,0.43869209809264303,True,checkpoints/sst.pt
sst,5,11711,last-linear-layer,0.001,64,0.2,1.3336976126058777,0.46769662921348315,0.38210285531013144,0.44868301544050865,0.36691286781777327,0.44868301544050865,True,checkpoints/sst.pt
sst,6,11711,last-linear-layer,0.001,64,0.2,1.3208682110060508,0.47155898876404495,0.40337399796078993,0.45776566757493187,0.39814660571767496,0.45776566757493187,True,checkpoints/sst.pt
sst,7,11711,last-linear-layer,0.001,64,0.2,1.3136607577551658,0.47928370786516855,0.41585002598406023,0.46684831970935514,0.4101140818886341,0.46684831970935514,True,checkpoints/sst.pt
sst,8,11711,last-linear-layer,0.001,64,0.2,1.306141642492209,0.47425093632958804,0.4036872062642999,0.44323342415985467,0.38206015146735633,0.46684831970935514,False,checkpoints/sst.pt
sst,9,11711,last-linear-layer,0.001,64,0.2,1.2970556225349654,0.48139044943820225,0.4178169417606944,0.4604904632152589,0.40341854211475914,0.46684831970935514,False,checkpoints/sst.pt
