dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,11711,last-linear-layer,0.001,8,0.2,0.714189315928477,0.6086701816051553,0.5411039172190868,0.6040816326530613,0.5286686103012633,0.6040816326530613,True,checkpoints/cfimdb.pt
cfimdb,1,11711,last-linear-layer,0.001,8,0.2,0.5717943054493343,0.7053309900410076,0.6857599602982463,0.7224489795918367,0.7065661547132591,0.7224489795918367,True,checkpoints/cfimdb.pt
cfimdb,2,11711,last-linear-layer,0.001,8,0.2,0.5094170446429297,0.6959578207381371,0.6661579523911267,0.673469387755102,0.6333981744725423,0.7224489795918367,False,checkpoints/cfimdb.pt
cfimdb,3,11711,last-linear-layer,0.001,8,0.2,0.4587610605581899,0.8646748681898067,0.8645491722329186,0.8489795918367347,0.8483327477454867,0.8489795918367347,True,checkpoints/cfimdb.pt
cfimdb,4,11711,last-linear-layer,0.001,8,0.2,0.4309804522406275,0.7586408904510837,0.7454201369180693,0.7183673469387755,0.6948611035901879,0.8489795918367347,False,checkpoints/cfimdb.pt
cfimdb,5,11711,last-linear-layer,0.001,8,0.2,0.4144766308088726,0.8142940831868776,0.8089304825863075,0.7591836734693878,0.7459086993970715,0.8489795918367347,False,checkpoints/cfimdb.pt
cfimdb,6,11711,last-linear-layer,0.001,8,0.2,0.39999694871568237,0.8775629759812537,0.877206291076742,0.8612244897959184,0.8603848216680074,0.8612244897959184,True,checkpoints/cfimdb.pt
cfimdb,7,11711,last-linear-layer,0.001,8,0.2,0.3837126981571456,0.8763913298183948,0.8762851860082731,0.8653061224489796,0.8652971459989003,0.8653061224489796,True,checkpoints/cfimdb.pt
cfimdb,8,11711,last-linear-layer,0.001,8,0.2,0.37840052582671707,0.8799062683069713,0.8796801510672805,0.8571428571428571,0.8561844863731656,0.8653061224489796,False,checkpoints/cfimdb.pt
cfimdb,9,11711,last-linear-layer,0.001,8,0.2,0.36821430562951857,0.885178676039836,0.8850988246542374,0.8612244897959184,0.8605531003080219,0.8653061224489796,False,checkpoints/cfimdb.pt
