dataset,best_dev_acc,best_dev_f1,best_epoch,final_train_acc,final_train_f1,final_dev_acc,final_dev_f1,fine_tune_mode,lr,epochs,batch_size,hidden_dropout_prob,pooling_config,use_simple_classifier,use_rdrop,rdrop_alpha,weight_decay,max_grad_norm,unuse_schedule,warmup_ratio,run_group,filename,prediction_prefix,checkpoint_path,path
SST,0.5059037238873751,0.4753167470939855,4,0.574438202247191,0.537417338048937,0.5059037238873751,0.4753167470939855,full-model,2e-05,5,64,0.2,,False,,,0.01,1.0,False,0.06,no-Rdrop-mlp,no-Rdrop-mlp-full-lr2e-5-ep5-full-model-sst-summary.json,no-Rdrop-mlp-full-lr2e-5-ep5-,checkpoints/no-Rdrop-full-lr2e-5-ep5-sst.pt,runs/no-Rdrop-mlp/no-Rdrop-mlp-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.5013623978201635,0.4650856799521268,4,0.5877808988764045,0.5528100646581411,0.5013623978201635,0.4650856799521268,full-model,1e-05,5,64,0.2,,True,,,0,,True,,base_model,base-full-lr1e-5-ep5-full-model-sst-summary.json,base-full-lr1e-5-ep5-,checkpoints/base-full-lr1e-5-ep5-sst.pt,runs/base_model/base-full-lr1e-5-ep5-full-model-sst-summary.json
SST,0.5049954586739328,0.46325424098620954,3,0.6763810861423221,0.6502593315925093,0.5040871934604905,0.47208101986582995,full-model,2e-05,5,64,0.2,,True,,,0,,True,,base_model,base-full-lr2e-5-ep5-full-model-sst-summary.json,base-full-lr2e-5-ep5-,checkpoints/base-full-lr2e-5-ep5-sst.pt,runs/base_model/base-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.4904632152588556,0.45664171654387664,4,0.5699906367041199,0.5340161541831898,0.4904632152588556,0.45664171654387664,full-model,2e-05,5,64,0.2,last_mean,False,,,0.01,1.0,False,0.06,no-Rdrop-last-mean,no-Rdrop-last_mean-mlp-full-lr2e-5-ep5-full-model-sst-summary.json,no-Rdrop-last_mean-mlp-full-lr2e-5-ep5-,checkpoints/no-Rdrop-last_mean-full-lr2e-5-ep5-sst.pt,runs/no-Rdrop-last-mean/no-Rdrop-last_mean-mlp-full-lr2e-5-ep5-full-model-sst-summary.json
SST,0.4977293369663942,0.45548845268227883,2,0.5838014981273408,0.5413586473754277,0.49227974568574023,0.45071620238228666,full-model,2e-05,5,64,0.2,last_mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.5004541326067211,0.4553408979505065,4,0.5676498127340824,0.5177278144811497,0.5004541326067211,0.4553408979505065,full-model,2e-05,5,64,0.2,last_mean,False,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.49591280653950953,0.45368052198713305,4,0.5742041198501873,0.5304626264073805,0.49591280653950953,0.45368052198713305,full-model,2e-05,5,64,0.2,last_mean,False,True,0.5,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.4986376021798365,0.4465098094731822,4,0.5766619850187266,0.5280839338407486,0.4986376021798365,0.4465098094731822,full-model,2e-05,5,64,0.2,last_mean,True,True,1.0,0.01,1.0,False,0.06,Rdrop-last-mean-simple,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json,Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-simple/Rdrop-last-mean-simple-full-lr2e-5-ep5-RdropAlpha1.0-full-model-sst-summary.json
SST,0.4904632152588556,0.4410337782622319,3,0.576310861423221,0.5347531733026469,0.48864668483197093,0.4453771541781073,full-model,2e-05,5,64,0.2,mean,True,True,0.5,0.01,1.0,False,0.06,Rdrop-mean-simple,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json,Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-,checkpoints/sst.pt,runs/Rdrop-mean-simple/Rdrop-mean-simple-full-lr2e-5-ep5-RdropAlpha0.5-full-model-sst-summary.json
SST,0.49682107175295187,0.43869347582056745,4,0.5536048689138576,0.49152672031831124,0.49682107175295187,0.43869347582056745,full-model,2e-05,5,64,0.2,last_mean,False,True,2.0,0.01,1.0,False,0.06,Rdrop-last-mean-mlp,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json,Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-,checkpoints/sst.pt,runs/Rdrop-last-mean-mlp/Rdrop-last-mean-mlp-full-lr2e-5-ep5-RdropAlpha2.0-full-model-sst-summary.json
