dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,last-linear-layer,0.001,64,0.2,1.6543595897617625,0.419124531835206,0.29535223141320327,0.4114441416893733,0.2926880648884347,0.4114441416893733,True,checkpoints/base-linear-sst.pt
sst,1,11711,last-linear-layer,0.001,64,0.2,1.4085273893911447,0.42755149812734083,0.30855569980135283,0.4087193460490463,0.29295694933149863,0.4114441416893733,False,checkpoints/base-linear-sst.pt
sst,2,11711,last-linear-layer,0.001,64,0.2,1.364925140765176,0.37102059925093633,0.2704884440481702,0.3605812897366031,0.27173912925955696,0.4114441416893733,False,checkpoints/base-linear-sst.pt
sst,3,11711,last-linear-layer,0.001,64,0.2,1.330590972259863,0.4636001872659176,0.3720400690961316,0.43415077202543145,0.34482446583444115,0.43415077202543145,True,checkpoints/base-linear-sst.pt
sst,4,11711,last-linear-layer,0.001,64,0.2,1.3089260120890034,0.44744850187265917,0.3045885447136346,0.4305177111716621,0.29369192054458904,0.43415077202543145,False,checkpoints/base-linear-sst.pt
sst,5,11711,last-linear-layer,0.001,64,0.2,1.2937010464383596,0.4731975655430712,0.3613169143221092,0.4405086285195277,0.32972089446964115,0.4405086285195277,True,checkpoints/base-linear-sst.pt
sst,6,11711,last-linear-layer,0.001,64,0.2,1.2890063097227866,0.47787921348314605,0.3589141221746782,0.4550408719346049,0.3418721766276231,0.4550408719346049,True,checkpoints/base-linear-sst.pt
sst,7,11711,last-linear-layer,0.001,64,0.2,1.2835751247050158,0.49063670411985016,0.4524325987725303,0.4550408719346049,0.41807638057690955,0.4550408719346049,False,checkpoints/base-linear-sst.pt
sst,8,11711,last-linear-layer,0.001,64,0.2,1.2707815659579946,0.4753043071161049,0.43053258930858374,0.44595821980018163,0.3945011401131569,0.4550408719346049,False,checkpoints/base-linear-sst.pt
sst,9,11711,last-linear-layer,0.001,64,0.2,1.2620050061994523,0.4874765917602996,0.40938531295553054,0.44595821980018163,0.3643788593552931,0.4550408719346049,False,checkpoints/base-linear-sst.pt
