dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,0,last-linear-layer,0.001,64,0.2,2.1952664540774784,0.40472846441947563,0.2729791360679148,0.3996366939146231,0.2733375443232093,0.3996366939146231,True,checkpoints/sst.pt
sst,1,0,last-linear-layer,0.001,64,0.2,1.4356959177486932,0.41830524344569286,0.3394398558581343,0.39509536784741145,0.3262474666144327,0.3996366939146231,False,checkpoints/sst.pt
sst,2,0,last-linear-layer,0.001,64,0.2,1.3783159229292798,0.4455758426966292,0.3860957732006633,0.40236148955495005,0.3469595431357838,0.40236148955495005,True,checkpoints/sst.pt
sst,3,0,last-linear-layer,0.001,64,0.2,1.3418894161039323,0.4349250936329588,0.4061671998785279,0.3996366939146231,0.3684667675229996,0.40236148955495005,False,checkpoints/sst.pt
sst,4,0,last-linear-layer,0.001,64,0.2,1.317773377717431,0.4541198501872659,0.3297623980272963,0.4296094459582198,0.31333112507632216,0.4296094459582198,True,checkpoints/sst.pt
sst,5,0,last-linear-layer,0.001,64,0.2,1.3175655719059616,0.44030898876404495,0.4066438271566775,0.4232515894641235,0.394240407939702,0.4296094459582198,False,checkpoints/sst.pt
sst,6,0,last-linear-layer,0.001,64,0.2,1.2945714708584457,0.46722846441947563,0.40889669919405114,0.4259763851044505,0.36606128875644084,0.4296094459582198,False,checkpoints/sst.pt
sst,7,0,last-linear-layer,0.001,64,0.2,1.284169238894733,0.4913389513108614,0.40402614596133796,0.44232515894641233,0.35874650519642765,0.44232515894641233,True,checkpoints/sst.pt
sst,8,0,last-linear-layer,0.001,64,0.2,1.2790131417673025,0.4913389513108614,0.4486759084925801,0.45231607629427795,0.41206928766015694,0.45231607629427795,True,checkpoints/sst.pt
sst,9,0,last-linear-layer,0.001,64,0.2,1.2727225947735914,0.49332865168539325,0.3997074780546309,0.45685740236148953,0.3655387929792376,0.45685740236148953,True,checkpoints/sst.pt
