dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
cfimdb,0,11711,last-linear-layer,0.001,8,0.2,1.023223175902233,0.5032220269478618,0.3378878805620609,0.5061224489795918,0.34327994506103093,0.5061224489795918,True,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,1,11711,last-linear-layer,0.001,8,0.2,0.6995917283625246,0.6496777973052138,0.600482652380699,0.6244897959183674,0.5612737464964185,0.6244897959183674,True,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,2,11711,last-linear-layer,0.001,8,0.2,0.5489155306506937,0.7978910369068541,0.7905297232850391,0.7428571428571429,0.7264510412051395,0.7428571428571429,True,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,3,11711,last-linear-layer,0.001,8,0.2,0.4508188051110673,0.8875219683655536,0.8872014008964856,0.8693877551020408,0.8693333333333333,0.8693877551020408,True,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,4,11711,last-linear-layer,0.001,8,0.2,0.4712976008201035,0.9068541300527241,0.9068357136457859,0.8857142857142857,0.8852842809364548,0.8857142857142857,True,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,5,11711,last-linear-layer,0.001,8,0.2,0.404658321856965,0.9045108377270065,0.9044529950190328,0.8816326530612245,0.8815616196302656,0.8857142857142857,False,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,6,11711,last-linear-layer,0.001,8,0.2,0.39373719403259105,0.8781487990626831,0.8770275137846002,0.8204081632653061,0.8162165848336062,0.8857142857142857,False,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,7,11711,last-linear-layer,0.001,8,0.2,0.3294974920888231,0.9156414762741653,0.9156391311868344,0.8938775510204081,0.8937341518750834,0.8938775510204081,True,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,8,11711,last-linear-layer,0.001,8,0.2,0.30862914118915796,0.9168131224370241,0.9167552709229678,0.8734693877551021,0.8729274373002727,0.8938775510204081,False,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
cfimdb,9,11711,last-linear-layer,0.001,8,0.2,0.2801589230206038,0.90099589923843,0.9007320795360112,0.8775510204081632,0.8764622831787012,0.8938775510204081,False,checkpoints/no-Rdrop-last_mean-linear-cfimdb.pt
