dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,last-linear-layer,0.001,64,0.2,1.9325098172942203,0.41163389513108617,0.2922778171150188,0.4114441416893733,0.29115357527309005,0.4114441416893733,True,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,1,11711,last-linear-layer,0.001,64,0.2,1.419107663987288,0.3892790262172285,0.33195245177031907,0.35149863760217986,0.30334175756201953,0.4114441416893733,False,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,2,11711,last-linear-layer,0.001,64,0.2,1.334047229432348,0.44569288389513106,0.4045900324442244,0.4259763851044505,0.3927140851802907,0.4259763851044505,True,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,3,11711,last-linear-layer,0.001,64,0.2,1.3021796069928069,0.4713249063670412,0.4125877262303067,0.45049954586739327,0.3957257536397191,0.45049954586739327,True,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,4,11711,last-linear-layer,0.001,64,0.2,1.2857522243884072,0.456811797752809,0.4197093735553844,0.4196185286103542,0.3966791167546282,0.45049954586739327,False,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,5,11711,last-linear-layer,0.001,64,0.2,1.2718281888250094,0.493562734082397,0.43812005690807565,0.46866485013623976,0.42093018440066376,0.46866485013623976,True,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,6,11711,last-linear-layer,0.001,64,0.2,1.2566858361016457,0.4887640449438202,0.42226249589058434,0.44868301544050865,0.38415252333393285,0.46866485013623976,False,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,7,11711,last-linear-layer,0.001,64,0.2,1.2411202619324868,0.5040964419475655,0.4338947491297903,0.4695731153496821,0.40509682613918213,0.4695731153496821,True,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,8,11711,last-linear-layer,0.001,64,0.2,1.2415789481419235,0.5024578651685393,0.4351824316762184,0.4623069936421435,0.3986485569281662,0.4695731153496821,False,checkpoints/no-Rdrop-last_mean-linear-sst.pt
sst,9,11711,last-linear-layer,0.001,64,0.2,1.2249681104474992,0.5091292134831461,0.4567527940961993,0.4659400544959128,0.4248538272138481,0.4695731153496821,False,checkpoints/no-Rdrop-last_mean-linear-sst.pt
