dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,last-linear-layer,0.001,64,0.2,1.8239429513020302,0.4154962546816479,0.3016927462171742,0.40417801998183467,0.2939677957299872,0.40417801998183467,True,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,1,11711,last-linear-layer,0.001,64,0.2,1.45873213348104,0.39021535580524347,0.28167478118675293,0.3905540417801998,0.2808316988140374,0.40417801998183467,False,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,2,11711,last-linear-layer,0.001,64,0.2,1.3717597091375893,0.44358614232209737,0.3539405338978626,0.42415985467756584,0.3350634268648675,0.42415985467756584,True,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,3,11711,last-linear-layer,0.001,64,0.2,1.3375542742102893,0.46500468164794007,0.38177608929437706,0.43869209809264303,0.36733086194749204,0.43869209809264303,True,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,4,11711,last-linear-layer,0.001,64,0.2,1.3185331990469749,0.46512172284644193,0.38675216061494033,0.4259763851044505,0.3541766011290555,0.43869209809264303,False,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,5,11711,last-linear-layer,0.001,64,0.2,1.2985626210027665,0.41970973782771537,0.38995849640138197,0.3896457765667575,0.359659354717034,0.43869209809264303,False,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,6,11711,last-linear-layer,0.001,64,0.2,1.2965095505785587,0.47460205992509363,0.43815528895229267,0.44595821980018163,0.41936730930831373,0.44595821980018163,True,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,7,11711,last-linear-layer,0.001,64,0.2,1.2867595001832763,0.48677434456928836,0.44780650656935717,0.45413260672116257,0.42541434119750515,0.45413260672116257,True,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,8,11711,last-linear-layer,0.001,64,0.2,1.2726453693945017,0.4875936329588015,0.42508787002577597,0.4623069936421435,0.40791779849236215,0.4623069936421435,True,checkpoints/no-Rdrop-mean-linear-sst.pt
sst,9,11711,last-linear-layer,0.001,64,0.2,1.2640546604768554,0.4887640449438202,0.4443362939794387,0.46321525885558584,0.42929685066106904,0.46321525885558584,True,checkpoints/no-Rdrop-mean-linear-sst.pt
