dataset,epoch,seed,fine_tune_mode,lr,batch_size,hidden_dropout_prob,train_loss,train_acc,train_f1,dev_acc,dev_f1,best_dev_acc,is_best,checkpoint_path
sst,0,11711,last-linear-layer,0.001,64,0.2,1.8123465598519168,0.4089419475655431,0.27868733038522475,0.40236148955495005,0.27533206879146693,0.40236148955495005,True,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,1,11711,last-linear-layer,0.001,64,0.2,1.4148070527546441,0.4164325842696629,0.30227918880457205,0.4032697547683924,0.28658200762121755,0.4032697547683924,True,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,2,11711,last-linear-layer,0.001,64,0.2,1.3633792400360107,0.3647003745318352,0.26068504822678584,0.3533151680290645,0.2628331560942217,0.4032697547683924,False,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,3,11711,last-linear-layer,0.001,64,0.2,1.3362324237823486,0.45552434456928836,0.3408484022583574,0.4359673024523161,0.31858942919823047,0.4359673024523161,True,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,4,11711,last-linear-layer,0.001,64,0.2,1.3111206791294154,0.4606741573033708,0.33747782134916554,0.43505903723887374,0.31531324292569424,0.4359673024523161,False,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,5,11711,last-linear-layer,0.001,64,0.2,1.3000987118749476,0.46640917602996257,0.38959656809168913,0.4305177111716621,0.35707367659720174,0.4359673024523161,False,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,6,11711,last-linear-layer,0.001,64,0.2,1.2957241259404082,0.4853698501872659,0.39530603210648885,0.45776566757493187,0.3620204514225955,0.45776566757493187,True,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,7,11711,last-linear-layer,0.001,64,0.2,1.2858008119597364,0.4901685393258427,0.4251672262622873,0.4641235240690282,0.4040704037102799,0.4641235240690282,True,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,8,11711,last-linear-layer,0.001,64,0.2,1.2761260849326403,0.47155898876404495,0.3858196452442083,0.44686648501362397,0.36004528248790113,0.4641235240690282,False,checkpoints/no-Rdrop-simple-linear-sst.pt
sst,9,11711,last-linear-layer,0.001,64,0.2,1.269324110515082,0.4853698501872659,0.4025387666243013,0.45231607629427795,0.3655442278180808,0.4641235240690282,False,checkpoints/no-Rdrop-simple-linear-sst.pt
